Number of clusters: 1011
Cluster 244 has 82 data
Cluster 245 has 41 data
Cluster 246 has 8 data
Cluster 247 has 41 data
Cluster 248 has 41 data
Cluster 249 has 41 data
Cluster 250 has 41 data
Cluster 251 has 205 data
Cluster 252 has 283 data
Cluster 253 has 82 data
Cluster 254 has 41 data
Cluster 255 has 41 data
Cluster 256 has 346 data
Cluster 257 has 82 data
Cluster 258 has 41 data
Cluster 259 has 41 data
Cluster 260 has 41 data
Cluster 261 has 82 data
Cluster 262 has 41 data
Cluster 263 has 41 data
Cluster 264 has 41 data
Cluster 265 has 41 data
Cluster 266 has 123 data
Cluster 267 has 82 data
Cluster 268 has 82 data
Cluster 269 has 82 data
Cluster 270 has 82 data
Cluster 271 has 82 data
Cluster 272 has 123 data
Cluster 273 has 164 data
Cluster 274 has 41 data
Cluster 275 has 287 data
Cluster 276 has 41 data
Cluster 277 has 82 data
Cluster 278 has 25 data
Cluster 279 has 121 data
Cluster 280 has 41 data
Cluster 281 has 41 data
Cluster 282 has 41 data
Cluster 283 has 16 data
Cluster 284 has 41 data
Cluster 285 has 190 data
Cluster 286 has 41 data
Cluster 287 has 41 data
Cluster 288 has 27 data
Cluster 289 has 38 data
Cluster 290 has 123 data
Cluster 291 has 19 data
Cluster 292 has 10 data
Cluster 293 has 83 data
Cluster 294 has 82 data
Cluster 295 has 82 data
Cluster 296 has 82 data
Cluster 297 has 41 data
Cluster 298 has 41 data
Cluster 299 has 113 data
Cluster 300 has 41 data
Cluster 301 has 41 data
Cluster 302 has 41 data
Cluster 303 has 41 data
Cluster 304 has 492 data
Cluster 305 has 123 data
Cluster 306 has 205 data
Cluster 307 has 128 data
Cluster 308 has 41 data
Cluster 309 has 41 data
Cluster 310 has 246 data
Cluster 311 has 45 data
Cluster 312 has 41 data
Cluster 313 has 41 data
Cluster 314 has 82 data
Cluster 315 has 12 data
Cluster 316 has 6 data
Cluster 317 has 41 data
Cluster 318 has 41 data
Cluster 319 has 41 data
Cluster 320 has 26 data
Cluster 321 has 32 data
Cluster 322 has 41 data
Cluster 323 has 41 data
Cluster 324 has 82 data
Cluster 325 has 82 data
Cluster 326 has 14 data
Cluster 327 has 41 data
Cluster 328 has 41 data
Cluster 329 has 33 data
Cluster 330 has 40 data
Cluster 331 has 41 data
Cluster 332 has 41 data
Cluster 333 has 10 data
Cluster 334 has 165 data
Cluster 335 has 82 data
Cluster 336 has 41 data
Cluster 337 has 41 data
Cluster 338 has 41 data
Cluster 339 has 41 data
Cluster 340 has 33 data
Cluster 341 has 37 data
Cluster 342 has 82 data
Cluster 343 has 41 data
Cluster 344 has 43 data
Cluster 345 has 31 data
Cluster 346 has 200 data
Cluster 347 has 164 data
Cluster 348 has 41 data
Cluster 349 has 20 data
Cluster 350 has 82 data
Cluster 351 has 117 data
Cluster 352 has 123 data
Cluster 353 has 123 data
Cluster 354 has 82 data
Cluster 355 has 41 data
Cluster 356 has 41 data
Cluster 357 has 41 data
Cluster 358 has 41 data
Cluster 359 has 41 data
Cluster 360 has 41 data
Cluster 361 has 164 data
Cluster 362 has 10 data
Cluster 363 has 6 data
Cluster 364 has 41 data
Cluster 365 has 82 data
Cluster 366 has 82 data
Cluster 367 has 82 data
Cluster 368 has 112 data
Cluster 369 has 89 data
Cluster 370 has 82 data
Cluster 371 has 82 data
Cluster 372 has 82 data
Cluster 373 has 82 data
Cluster 374 has 82 data
Cluster 375 has 151 data
Cluster 376 has 119 data
Cluster 377 has 44 data
Cluster 378 has 369 data
Cluster 379 has 410 data
Cluster 380 has 410 data
Cluster 381 has 38 data
Cluster 382 has 164 data
Cluster 383 has 369 data
Cluster 384 has 41 data
Cluster 385 has 287 data
Cluster 386 has 409 data
Cluster 387 has 826 data
Cluster 388 has 246 data
Cluster 389 has 509 data
Cluster 390 has 287 data
Cluster 391 has 385 data
Cluster 392 has 82 data
Cluster 393 has 16 data
Cluster 394 has 568 data
Cluster 395 has 17 data
Cluster 396 has 575 data
Cluster 397 has 41 data
Cluster 398 has 41 data
Cluster 399 has 41 data
Cluster 400 has 5 data
Cluster 401 has 16 data
Cluster 402 has 41 data
Cluster 403 has 8 data
Cluster 404 has 41 data
Cluster 405 has 41 data
Cluster 406 has 15 data
Cluster 407 has 41 data
Cluster 408 has 82 data
Cluster 409 has 41 data
Cluster 410 has 41 data
Cluster 411 has 169 data
Cluster 412 has 5 data
Cluster 413 has 33 data
Cluster 414 has 41 data
Cluster 415 has 41 data
Cluster 416 has 82 data
Cluster 417 has 164 data
Cluster 418 has 41 data
Cluster 419 has 41 data
Cluster 420 has 20 data
Cluster 421 has 48 data
Cluster 422 has 149 data
Cluster 423 has 184 data
Cluster 424 has 184 data
Cluster 425 has 184 data
Cluster 426 has 184 data
Cluster 427 has 266 data
Cluster 428 has 184 data
Cluster 429 has 266 data
Cluster 430 has 41 data
Cluster 431 has 41 data
Cluster 432 has 15 data
Cluster 433 has 164 data
Cluster 434 has 552 data
Cluster 435 has 82 data
Cluster 436 has 82 data
Cluster 437 has 41 data
Cluster 438 has 123 data
Cluster 439 has 82 data
Cluster 440 has 50 data
Cluster 441 has 163 data
Cluster 442 has 246 data
Cluster 443 has 41 data
Cluster 444 has 41 data
Cluster 445 has 82 data
Cluster 446 has 164 data
Cluster 447 has 164 data
Cluster 448 has 82 data
Cluster 449 has 41 data
Cluster 450 has 82 data
Cluster 451 has 8 data
Cluster 452 has 462 data
Cluster 453 has 41 data
Cluster 454 has 41 data
Cluster 455 has 41 data
Cluster 456 has 41 data
Cluster 457 has 41 data
Cluster 458 has 5 data
Cluster 459 has 27 data
Cluster 460 has 127 data
Cluster 461 has 82 data
Cluster 462 has 82 data
Cluster 463 has 82 data
Cluster 464 has 82 data
Cluster 465 has 82 data
Cluster 466 has 82 data
Cluster 467 has 82 data
Cluster 468 has 45 data
Cluster 469 has 82 data
Cluster 470 has 205 data
Cluster 471 has 123 data
Cluster 472 has 123 data
Cluster 473 has 123 data
Cluster 474 has 33 data
Cluster 475 has 41 data
Cluster 476 has 82 data
Cluster 477 has 53 data
Cluster 478 has 34 data
Cluster 479 has 41 data
Cluster 480 has 41 data
Cluster 481 has 82 data
Cluster 482 has 41 data
Cluster 483 has 102 data
Cluster 484 has 82 data
Cluster 485 has 82 data
Cluster 486 has 41 data
Cluster 487 has 41 data
Cluster 488 has 41 data
Cluster 489 has 41 data
Cluster 490 has 41 data
Cluster 491 has 164 data
Cluster 492 has 164 data
Cluster 493 has 82 data
Cluster 494 has 13 data
Cluster 495 has 862 data
Cluster 496 has 41 data
Cluster 497 has 41 data
Cluster 498 has 41 data
Cluster 499 has 22 data
Cluster 500 has 41 data
Cluster 501 has 41 data
Cluster 502 has 104 data
Cluster 503 has 163 data
Cluster 504 has 82 data
Cluster 505 has 41 data
Cluster 506 has 41 data
Cluster 507 has 82 data
Cluster 508 has 82 data
Cluster 509 has 41 data
Cluster 510 has 82 data
Cluster 511 has 41 data
Cluster 512 has 41 data
Cluster 513 has 20 data
Cluster 514 has 41 data
Cluster 515 has 41 data
Cluster 516 has 41 data
Cluster 517 has 13 data
Cluster 518 has 5 data
Cluster 519 has 5 data
Cluster 520 has 14 data
Cluster 521 has 41 data
Cluster 522 has 41 data
Cluster 523 has 41 data
Cluster 524 has 82 data
Cluster 525 has 41 data
Cluster 526 has 41 data
Cluster 527 has 41 data
Cluster 528 has 36 data
Cluster 529 has 41 data
Cluster 530 has 15 data
Cluster 531 has 82 data
Cluster 532 has 41 data
Cluster 533 has 41 data
Cluster 534 has 41 data
Cluster 535 has 82 data
Cluster 536 has 5 data
Cluster 537 has 41 data
Cluster 538 has 36 data
Cluster 539 has 41 data
Cluster 540 has 143 data
Cluster 541 has 82 data
Cluster 542 has 123 data
Cluster 543 has 82 data
Cluster 544 has 48 data
Cluster 545 has 41 data
Cluster 546 has 61 data
Cluster 547 has 204 data
Cluster 548 has 25 data
Cluster 549 has 122 data
Cluster 550 has 122 data
Cluster 551 has 41 data
Cluster 552 has 41 data
Cluster 553 has 41 data
Cluster 554 has 41 data
Cluster 555 has 41 data
Cluster 556 has 41 data
Cluster 557 has 41 data
Cluster 558 has 41 data
Cluster 559 has 41 data
Cluster 560 has 41 data
Cluster 561 has 41 data
Cluster 562 has 123 data
Cluster 563 has 123 data
Cluster 564 has 27 data
Cluster 565 has 41 data
Cluster 566 has 55 data
Cluster 567 has 41 data
Cluster 568 has 41 data
Cluster 569 has 41 data
Cluster 570 has 41 data
Cluster 571 has 41 data
Cluster 572 has 82 data
Cluster 573 has 41 data
Cluster 574 has 10 data
Cluster 575 has 123 data
Cluster 576 has 123 data
Cluster 577 has 40 data
Cluster 578 has 84 data
Cluster 579 has 56 data
Cluster 580 has 150 data
Cluster 581 has 123 data
Cluster 582 has 123 data
Cluster 583 has 76 data
Cluster 584 has 369 data
Cluster 585 has 123 data
Cluster 586 has 123 data
Cluster 587 has 123 data
Cluster 588 has 123 data
Cluster 589 has 123 data
Cluster 590 has 27 data
Cluster 591 has 28 data
Cluster 592 has 41 data
Cluster 593 has 41 data
Cluster 594 has 29 data
Cluster 595 has 82 data
Cluster 596 has 235 data
Cluster 597 has 82 data
Cluster 598 has 82 data
Cluster 599 has 41 data
Cluster 600 has 41 data
Cluster 601 has 116 data
Cluster 602 has 82 data
Cluster 603 has 41 data
Cluster 604 has 41 data
Cluster 605 has 41 data
Cluster 606 has 41 data
Cluster 607 has 41 data
Cluster 608 has 41 data
Cluster 609 has 41 data
Cluster 610 has 41 data
Cluster 611 has 204 data
Cluster 612 has 204 data
Cluster 613 has 597 data
Cluster 614 has 82 data
Cluster 615 has 82 data
Cluster 616 has 40 data
Cluster 617 has 40 data
Cluster 618 has 40 data
Cluster 619 has 51 data
Cluster 620 has 40 data
Cluster 621 has 246 data
Cluster 622 has 123 data
Cluster 623 has 41 data
Cluster 624 has 82 data
Cluster 625 has 20 data
Cluster 626 has 20 data
Cluster 627 has 20 data
Cluster 628 has 20 data
Cluster 629 has 20 data
Cluster 630 has 61 data
Cluster 631 has 41 data
Cluster 632 has 41 data
Cluster 633 has 19 data
Cluster 634 has 41 data
Cluster 635 has 182 data
Cluster 636 has 41 data
Cluster 637 has 17 data
Cluster 638 has 82 data
Cluster 639 has 82 data
Cluster 640 has 82 data
Cluster 641 has 164 data
Cluster 642 has 61 data
Cluster 643 has 82 data
Cluster 644 has 40 data
Cluster 645 has 40 data
Cluster 646 has 41 data
Cluster 647 has 328 data
Cluster 648 has 164 data
Cluster 649 has 122 data
Cluster 650 has 122 data
Cluster 651 has 82 data
Cluster 652 has 41 data
Cluster 653 has 41 data
Cluster 654 has 25 data
Cluster 655 has 41 data
Cluster 656 has 244 data
Cluster 657 has 339 data
Cluster 658 has 41 data
Cluster 659 has 82 data
Cluster 660 has 41 data
Cluster 661 has 34 data
Cluster 662 has 41 data
Cluster 663 has 41 data
Cluster 664 has 41 data
Cluster 665 has 41 data
Cluster 666 has 40 data
Cluster 667 has 81 data
Cluster 668 has 40 data
Cluster 669 has 40 data
